Sample:,Mono %(+),Mono MFI(+),Mono MFI(-),Mono rSD(-),Stain Index
Specimen_001_A1_A01_001.fcs,0,n/a,152,38.3,#VALUE!
Specimen_001_A2_A02_096.fcs,97.8,3934,687,205,7.919512195
Specimen_001_A3_A03_097.fcs,98.3,4176,755,231,7.404761905
Specimen_001_A4_A04_098.fcs,98.8,4082,833,123,13.20731707
Specimen_001_A5_A05_099.fcs,98.6,4066,740,127,13.09448819
Specimen_001_A6_A06_100.fcs,98.5,4211,857,341,4.917888563
Specimen_001_A7_A07_101.fcs,98.4,4091,750,286,5.840909091
Specimen_001_A8_A08_102.fcs,98.1,4290,840,275,6.272727273
Specimen_001_B1_B01_107.fcs,0.15,1751,148,38.3,20.92689295
Specimen_001_B2_B02_108.fcs,98.3,3967,535,242,7.090909091
Specimen_001_B3_B03_109.fcs,99,4237,705,382,4.623036649
Specimen_001_B4_B04_110.fcs,98.3,4150,753,272,6.244485294
Specimen_001_B5_B05_111.fcs,97.7,4049,673,329,5.130699088
Specimen_001_B6_B06_112.fcs,98.7,3950,786,321,4.92834891
Specimen_001_B7_B07_113.fcs,98.1,4167,552,295,6.127118644
Specimen_001_B8_B08_114.fcs,96.3,4024,814,323,4.969040248
Specimen_001_C1_C01_119.fcs,0,n/a,149,38.9,#VALUE!
Specimen_001_C2_C02_120.fcs,97.2,4091,631,180,9.611111111
Specimen_001_C3_C03_121.fcs,98.1,3991,669,337,4.928783383
Specimen_001_C4_C04_122.fcs,96.7,3950,703,341,4.760997067
Specimen_001_C5_C05_123.fcs,95.5,4150,958,199,8.020100503
Specimen_001_C6_C06_124.fcs,98.1,3878,614,199,8.201005025
Specimen_001_C7_C07_125.fcs,97.1,3910,644,271,6.025830258
Specimen_001_C8_C08_126.fcs,96.5,3918,687,290,5.570689655
Specimen_001_D1_D01_131.fcs,0.17,4761,146,37,62.36486486
Specimen_001_D2_D02_132.fcs,98.2,4159,573,309,5.802588997
Specimen_001_D3_D03_133.fcs,98.8,3983,828,146,10.80479452
Specimen_001_D4_D04_134.fcs,97.8,4008,622,335,5.053731343
Specimen_001_D5_D05_135.fcs,98.2,3999,712,376,4.371010638
Specimen_001_D6_D06_136.fcs,95.9,4099,587,315,5.574603175
Specimen_001_D7_D07_137.fcs,98.8,3863,639,0,#DIV/0!
Specimen_001_D8_D08_138.fcs,97.4,4176,655,356,4.945224719
Specimen_001_E1_E01_143.fcs,0,n/a,148,38.9,#VALUE!
Specimen_001_E2_E02_144.fcs,98.9,3999,468,238,7.418067227
Specimen_001_E3_E03_145.fcs,98.9,4066,789,87.1,18.81171068
Specimen_001_E4_E04_146.fcs,98.4,4074,740,262,6.36259542
Specimen_001_E5_E05_147.fcs,97.8,4032,733,261,6.319923372
Specimen_001_E6_E06_148.fcs,97.7,3967,599,185,9.102702703
Specimen_001_E7_E07_149.fcs,98.8,4108,669,206,8.347087379
Specimen_001_E8_E08_150.fcs,98.6,3816,758,163,9.380368098
Specimen_001_F1_F01_155.fcs,0,n/a,140,36.3,#VALUE!
Specimen_001_F2_F02_156.fcs,98.5,4211,624,358,5.009776536
Specimen_001_F3_F03_157.fcs,98.8,3999,713,224,7.334821429
Specimen_001_F4_F04_158.fcs,98.5,4066,329,165,11.32424242
Specimen_001_F5_F05_159.fcs,98.2,4016,702,410,4.041463415
Specimen_001_F6_F06_160.fcs,98.7,4099,481,417,4.338129496
Specimen_001_F7_F07_161.fcs,97.9,4049,574,317,5.481072555
Specimen_001_F8_F08_162.fcs,99.5,3983,837,0,#DIV/0!
Specimen_001_G1_G01_167.fcs,0,n/a,142,38.2,#VALUE!
Specimen_001_G2_G02_168.fcs,98.9,4032,552,276,6.304347826
Specimen_001_G3_G03_169.fcs,99,4099,339,283,6.643109541
Specimen_001_G4_G04_170.fcs,98.3,4008,674,368,4.529891304
Specimen_001_G5_G05_171.fcs,98.5,3975,848,326,4.79601227
Specimen_001_G6_G06_172.fcs,97.5,4150,703,315,5.471428571
Specimen_001_G7_G07_173.fcs,98.5,3959,786,101,15.70792079
Specimen_001_G8_G08_174.fcs,98.5,4211,720,293,5.957337884
Specimen_001_H1_H01_179.fcs,0,n/a,140,34.3,#VALUE!
Specimen_001_H2_H02_180.fcs,98.3,3975,807,219,7.232876712
Specimen_001_H3_H03_181.fcs,97.9,4125,580,253,7.005928854
Specimen_001_H4_H04_182.fcs,98,3983,730,204,7.973039216
Specimen_001_H5_H05_183.fcs,98.1,3942,733,138,11.62681159
Specimen_001_H6_H06_184.fcs,96.7,3886,720,294,5.384353741
Specimen_001_H7_H07_185.fcs,99.2,4041,531,0,#DIV/0!
Specimen_001_H8_H08_186.fcs,97.9,4108,720,383,4.422976501
Mean,85.8,,616,226,
SD,32.7,,212,118,
