Sample:,Lymph %(+),Lymph MFI(+),Lymph MFI(-),Lymph rSD(-),Stain Index
Specimen_001_A1_A01_001.fcs,0.37,33840,63.4,33.5,504.1283582
Specimen_001_A2_A02_192.fcs,34.1,34092,76.7,56.9,298.9042179
Specimen_001_A3_A03_193.fcs,37.3,33673,77.8,58.2,288.6185567
Specimen_001_A4_A04_194.fcs,32.8,33341,82.8,64.4,258.2158385
Specimen_001_A5_A05_195.fcs,36.6,32849,77.8,57.6,284.4722222
Specimen_001_A6_A06_196.fcs,36,32606,72.4,59.6,272.9328859
Specimen_001_A7_A07_197.fcs,35.2,32284,71.2,51.8,310.9343629
Specimen_001_A8_A08_198.fcs,33.5,23402,68.7,52.1,223.928023
Specimen_001_B1_B01_203.fcs,0.06,46704,65.9,42,555.2154762
Specimen_001_B2_B02_204.fcs,33.9,33673,80.5,76.1,220.7128778
Specimen_001_B3_B03_205.fcs,33.5,33176,74.4,69.7,237.4576758
Specimen_001_B4_B04_206.fcs,33.7,33673,77.8,64.4,260.8322981
Specimen_001_B5_B05_207.fcs,31.1,32687,73,59.2,275.4560811
Specimen_001_B6_B06_208.fcs,35.6,32445,70.1,66.1,244.8933434
Specimen_001_B7_B07_209.fcs,31.2,32364,76.1,54.5,296.2192661
Specimen_001_B8_B08_210.fcs,33.8,33924,69.3,58.5,289.3564103
Specimen_001_C1_C01_215.fcs,0.36,37831,74.4,58.5,322.7059829
Specimen_001_C2_C02_216.fcs,35.3,33840,75.5,61,276.7581967
Specimen_001_C3_C03_217.fcs,33.3,33094,69.3,58.6,281.7807167
Specimen_001_C4_C04_218.fcs,33.2,32445,75,63.4,255.2839117
Specimen_001_C5_C05_219.fcs,34,32445,72.4,55.7,290.5978456
Specimen_001_C6_C06_220.fcs,32.7,32045,75.5,56.7,281.9179894
Specimen_001_C7_C07_221.fcs,33.6,32687,79,57.6,283.0555556
Specimen_001_C8_C08_222.fcs,33.5,32284,72.4,62.2,258.9356913
Specimen_001_D1_D01_227.fcs,0,n/a,49.9,30.5,#VALUE!
Specimen_001_D2_D02_228.fcs,33.9,32930,75.5,64.7,253.8987635
Specimen_001_D3_D03_229.fcs,32.3,33673,81.1,71.7,234.2531381
Specimen_001_D4_D04_230.fcs,34.6,32687,73.5,57.3,284.5855148
Specimen_001_D5_D05_231.fcs,31.8,32525,75,59.5,272.6890756
Specimen_001_D6_D06_232.fcs,33.4,33341,74.4,61,272.6770492
Specimen_001_D7_D07_233.fcs,30.6,33258,76.1,60.5,274.2305785
Specimen_001_D8_D08_234.fcs,34.5,32445,70.7,59.2,273.4315878
Specimen_001_E1_E01_239.fcs,2.62,30877,82.2,487,31.61683778
Specimen_001_E2_E02_240.fcs,36.6,33094,76.7,73.5,224.607483
Specimen_001_E3_E03_241.fcs,33.9,33176,71.2,56.3,294.0035524
Specimen_001_E4_E04_242.fcs,32,33094,67,56.4,292.7925532
Specimen_001_E5_E05_243.fcs,28.7,32930,70.1,57.7,284.7478336
Specimen_001_E6_E06_244.fcs,30.3,32768,72.4,60.9,268.4367816
Specimen_001_E7_E07_245.fcs,31.1,33424,75.5,63.9,260.9428795
Specimen_001_E8_E08_246.fcs,30.3,33506,70.7,56.7,294.8439153
Specimen_001_F1_F01_251.fcs,0,n/a,51,29.3,#VALUE!
Specimen_001_F2_F02_252.fcs,33,32205,71.2,58.8,273.2465986
Specimen_001_F3_F03_253.fcs,34.8,32125,73,58.8,272.5510204
Specimen_001_F4_F04_254.fcs,33.8,33506,72.4,62.6,267.0415335
Specimen_001_F5_F05_255.fcs,30,32364,71.2,59.8,270.006689
Specimen_001_F6_F06_256.fcs,31.7,32930,68.7,61.5,267.1650407
Specimen_001_F7_F07_257.fcs,33.9,32364,72.4,59.1,273.1945854
Specimen_001_F8_F08_258.fcs,32.8,33506,76.1,65.6,254.8010671
Specimen_001_G1_G01_263.fcs,0.057,28596,50.5,30.8,463.400974
Specimen_001_G2_G02_264.fcs,32.5,33424,71.2,60.8,274.2828947
Specimen_001_G3_G03_265.fcs,32.4,32768,75.5,62.4,261.9591346
Specimen_001_G4_G04_266.fcs,32.2,33012,68.7,57.3,287.4633508
Specimen_001_G5_G05_267.fcs,31.1,33176,72.4,56.6,292.434629
Specimen_001_G6_G06_268.fcs,31,32930,72.4,59.6,275.6510067
Specimen_001_G7_G07_269.fcs,31.4,32364,72.4,56.3,286.7815275
Specimen_001_G8_G08_270.fcs,31.1,32606,69.3,54.3,299.6012891
Specimen_001_H1_H01_275.fcs,0,n/a,46.2,29.3,#VALUE!
Specimen_001_H2_H02_276.fcs,31.4,34517,73,59.5,289.4453782
Specimen_001_H3_H03_277.fcs,34.5,34177,73.5,58.1,293.489673
Specimen_001_H4_H04_278.fcs,31.8,32849,73.5,57.9,283.0354059
Specimen_001_H5_H05_279.fcs,31.8,33840,71.2,59.4,284.2491582
Specimen_001_H6_H06_280.fcs,31.3,34177,70.7,57.6,296.0616319
Specimen_001_H7_H07_281.fcs,31.9,32930,68.1,61.5,267.1699187
Specimen_001_H8_H08_282.fcs,31.3,32768,67,51.1,319.9706458
Mean,28.9,,71.6,64.1,
SD,11,,6.93,54.5,
